frame_id,timestamp,dt_ms,my_x,my_y,my_z,my_raw_vx,my_raw_vy,my_raw_vz,my_raw_kmh,my_pos_vx,my_pos_vy,my_pos_vz,my_pos_kmh,my_chosen_vx,my_chosen_vy,my_chosen_vz,my_chosen_kmh,my_source,my_is_staircase,my_speed_delta_kmh,tg_ptr,tg_raw_kmh,tg_pos_kmh,tg_chosen_kmh,tg_source
84,1788706264.6353,16.66,1842.535,217.154,2029.164,0.00,0.00,0.00,0.0,0.11,0.00,0.27,1.0,0.00,0.00,0.00,0.0,ground_idle,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
85,1788706264.6520,16.66,1842.540,217.154,2029.178,0.00,0.00,0.00,0.0,0.15,0.00,0.36,1.4,0.00,0.00,0.06,0.2,pos_only_smoothed,0,0.21,0x6ea869b0,0.0,0.0,0.0,ground_idle
86,1788706264.6686,16.66,1842.543,217.153,2029.184,0.00,0.00,0.00,0.0,0.16,0.00,0.37,1.4,0.00,0.00,0.11,0.4,pos_only_smoothed,0,0.18,0x6ea869b0,0.0,0.0,0.0,ground_idle
87,1788706264.6853,16.67,1842.550,217.153,2029.200,0.00,0.00,0.00,0.0,0.20,0.00,0.48,1.9,0.00,0.00,0.11,0.4,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
88,1788706264.7020,16.66,1842.553,217.153,2029.208,0.00,0.00,0.00,0.0,0.20,0.00,0.47,1.8,0.00,0.00,0.11,0.4,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
89,1788706264.7186,16.66,1842.556,217.153,2029.216,0.00,0.00,0.00,0.0,0.20,0.00,0.48,1.9,0.00,0.00,0.11,0.4,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
90,1788706264.7353,16.66,1842.564,217.153,2029.235,0.00,0.00,0.00,0.0,0.25,0.00,0.59,2.3,0.00,0.00,0.11,0.4,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
91,1788706264.7520,16.66,1842.568,217.153,2029.244,0.00,0.00,0.00,0.0,0.24,0.00,0.59,2.3,0.00,0.00,0.11,0.4,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
92,1788706264.7686,16.66,1842.577,217.153,2029.265,0.00,0.00,0.00,0.0,0.30,0.00,0.71,2.8,0.00,0.00,0.11,0.4,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
93,1788706264.7853,16.66,1842.581,217.153,2029.275,0.00,0.00,0.00,0.0,0.29,0.00,0.69,2.7,0.00,0.00,0.11,0.4,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
94,1788706264.8020,16.66,1842.586,217.152,2029.286,0.00,0.00,0.00,0.0,0.29,0.00,0.68,2.7,0.00,0.00,0.11,0.4,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
95,1788706264.8186,16.66,1842.595,217.152,2029.309,0.00,0.00,0.00,0.0,0.34,0.00,0.81,3.2,0.00,0.00,0.14,0.5,pos_only_smoothed,0,0.12,0x6ea869b0,0.0,0.0,0.0,ground_idle
96,1788706264.8353,16.66,1842.600,217.152,2029.321,0.00,0.00,0.00,0.0,0.33,0.00,0.79,3.1,0.00,0.00,0.18,0.6,pos_only_smoothed,0,0.11,0x6ea869b0,0.0,0.0,0.0,ground_idle
97,1788706264.8519,16.66,1842.611,217.152,2029.347,0.00,0.00,0.00,0.0,0.39,0.00,0.93,3.6,0.00,0.00,0.21,0.8,pos_only_smoothed,0,0.13,0x6ea869b0,0.0,0.0,0.0,ground_idle
