frame_id,timestamp,dt_ms,my_x,my_y,my_z,my_raw_kmh,my_pos_kmh,my_vel_296_kmh,my_delta_296_kmh,my_src_296,my_vel_zj_kmh,my_delta_zj_kmh,tg_ptr,tg_raw_kmh,tg_pos_kmh,tg_vel_296_kmh,tg_vel_zj_kmh
101,1788706264.9186,16.66,1842.640,217.153,2029.415,0.0,3.8,3.1,0.13,pos_only_smoothed,3.1,0.15,0x6ea869b0,0.0,0.0,0.0,0.0
102,1788706264.9353,16.66,1842.652,217.153,2029.446,0.0,4.4,3.3,0.21,pos_only_smoothed,3.3,0.14,0x6ea869b0,0.0,0.0,0.0,0.0
103,1788706264.9519,16.66,1842.659,217.153,2029.461,0.0,4.3,3.4,0.15,pos_only_smoothed,3.4,0.15,0x6ea869b0,0.0,0.0,0.0,0.0
104,1788706264.9686,16.66,1842.672,217.154,2029.493,0.0,4.8,3.7,0.22,pos_only_smoothed,3.6,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
105,1788706264.9853,16.66,1842.679,217.154,2029.510,0.0,4.7,3.8,0.16,pos_only_smoothed,3.8,0.17,0x6ea869b0,0.0,0.0,0.0,0.0
106,1788706265.0019,16.66,1842.686,217.154,2029.527,0.0,4.5,3.9,0.12,pos_only_smoothed,3.9,0.15,0x6ea869b0,0.0,0.0,0.0,0.0
107,1788706265.0186,16.66,1842.701,217.154,2029.562,0.0,5.2,4.1,0.20,pos_only_smoothed,4.0,0.14,0x6ea869b0,0.0,0.0,0.0,0.0
108,1788706265.0352,16.66,1842.709,217.155,2029.580,0.0,5.0,4.3,0.14,pos_only_smoothed,4.2,0.15,0x6ea869b0,0.0,0.0,0.0,0.0
109,1788706265.0519,16.66,1842.724,217.155,2029.618,0.0,5.7,4.5,0.23,pos_only_smoothed,4.4,0.17,0x6ea869b0,0.0,0.0,0.0,0.0
110,1788706265.0686,16.67,1842.732,217.155,2029.637,0.0,5.5,4.7,0.16,pos_only_smoothed,4.6,0.18,0x6ea869b0,0.0,0.0,0.0,0.0
111,1788706265.0852,16.62,1842.749,217.155,2029.676,0.0,6.2,4.9,0.24,pos_only_smoothed,4.7,0.19,0x6ea869b0,0.0,0.0,0.0,0.0
112,1788706265.1018,16.66,1842.758,217.155,2029.697,0.0,5.9,5.1,0.17,pos_only_smoothed,4.9,0.19,0x6ea869b0,0.0,0.0,0.0,0.0
113,1788706265.1185,16.66,1842.766,217.156,2029.717,0.0,5.7,5.2,0.10,pos_only_smoothed,5.1,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
114,1788706265.1352,16.67,1842.784,217.156,2029.760,0.0,6.5,5.4,0.21,pos_only_smoothed,5.2,0.14,0x6ea869b0,0.0,0.0,0.0,0.0
115,1788706265.1518,16.66,1842.793,217.156,2029.782,0.0,6.3,5.5,0.14,pos_only_smoothed,5.4,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
116,1788706265.1685,16.67,1842.812,217.156,2029.826,0.0,7.0,5.8,0.23,pos_only_smoothed,5.6,0.18,0x6ea869b0,0.0,0.0,0.0,0.0
117,1788706265.1852,16.66,1842.822,217.156,2029.850,0.0,6.7,5.9,0.16,pos_only_smoothed,5.8,0.19,0x6ea869b0,0.0,0.0,0.0,0.0
118,1788706265.2018,16.66,1842.831,217.156,2029.873,0.0,6.5,6.0,0.09,pos_only_smoothed,5.9,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
119,1788706265.2185,16.66,1842.851,217.157,2029.921,0.0,7.3,6.2,0.21,pos_only_smoothed,6.1,0.14,0x6ea869b0,0.0,0.0,0.0,0.0
120,1788706265.2352,16.66,1842.862,217.157,2029.945,0.0,7.0,6.4,0.13,pos_only_smoothed,6.2,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
121,1788706265.2518,16.66,1842.882,217.157,2029.995,0.0,7.9,6.6,0.24,pos_only_smoothed,6.4,0.18,0x6ea869b0,0.0,0.0,0.0,0.0
122,1788706265.2685,16.66,1842.893,217.157,2030.021,0.0,7.6,6.7,0.15,pos_only_smoothed,6.6,0.19,0x6ea869b0,0.0,0.0,0.0,0.0
123,1788706265.2851,16.66,1842.904,217.157,2030.047,0.0,7.3,6.8,0.09,pos_only_smoothed,6.7,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
124,1788706265.3018,16.67,1842.926,217.157,2030.100,0.0,8.2,7.1,0.22,pos_only_smoothed,6.9,0.14,0x6ea869b0,0.0,0.0,0.0,0.0
125,1788706265.3185,16.67,1842.938,217.157,2030.128,0.0,7.9,7.2,0.14,pos_only_smoothed,7.0,0.17,0x6ea869b0,0.0,0.0,0.0,0.0
126,1788706265.3351,16.66,1842.961,217.158,2030.182,0.0,8.8,7.4,0.25,pos_only_smoothed,7.2,0.19,0x6ea869b0,0.0,0.0,0.0,0.0
127,1788706265.3518,16.66,1842.973,217.158,2030.211,0.0,8.4,7.6,0.16,pos_only_smoothed,7.4,0.20,0x6ea869b0,0.0,0.0,0.0,0.0
128,1788706265.3685,16.66,1842.997,217.158,2030.269,0.0,9.3,7.9,0.28,pos_only_smoothed,7.6,0.21,0x6ea869b0,0.0,0.0,0.0,0.0
129,1788706265.3851,16.66,1843.009,217.158,2030.298,0.0,8.9,8.0,0.16,pos_only_smoothed,7.9,0.22,0x6ea869b0,0.0,0.0,0.0,0.0
130,1788706265.4018,16.66,1843.022,217.158,2030.328,0.0,8.6,8.1,0.08,pos_only_smoothed,8.0,0.17,0x6ea869b0,0.0,0.0,0.0,0.0
131,1788706265.4185,16.66,1843.047,217.158,2030.389,0.0,9.6,8.4,0.23,pos_only_smoothed,8.2,0.14,0x6ea869b0,0.0,0.0,0.0,0.0
132,1788706265.4351,16.66,1843.060,217.159,2030.420,0.0,9.2,8.5,0.13,pos_only_smoothed,8.3,0.17,0x6ea869b0,0.0,0.0,0.0,0.0
133,1788706265.4518,16.66,1843.086,217.159,2030.482,0.0,10.1,8.7,0.26,pos_only_smoothed,8.5,0.19,0x6ea869b0,0.0,0.0,0.0,0.0
134,1788706265.4685,16.67,1843.100,217.159,2030.515,0.0,9.7,8.9,0.15,pos_only_smoothed,8.7,0.20,0x6ea869b0,0.0,0.0,0.0,0.0
135,1788706265.4851,16.66,1843.114,217.159,2030.547,0.0,9.3,9.0,0.07,pos_only_smoothed,8.9,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
136,1788706265.5018,16.66,1843.141,217.159,2030.613,0.0,10.4,9.2,0.23,pos_only_smoothed,9.0,0.13,0x6ea869b0,0.0,0.0,0.0,0.0
137,1788706265.5184,16.66,1843.155,217.159,2030.647,0.0,10.0,9.3,0.12,pos_only_smoothed,9.2,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
138,1788706265.5351,16.66,1843.184,217.160,2030.715,0.0,11.0,9.6,0.28,pos_only_smoothed,9.4,0.19,0x6ea869b0,0.0,0.0,0.0,0.0
139,1788706265.5518,16.66,1843.198,217.160,2030.749,0.0,10.5,9.7,0.14,pos_only_smoothed,9.6,0.20,0x6ea869b0,0.0,0.0,0.0,0.0
140,1788706265.5684,16.66,1843.228,217.160,2030.820,0.0,11.6,10.0,0.30,pos_only_smoothed,9.8,0.21,0x6ea869b0,0.0,0.0,0.0,0.0
141,1788706265.5851,16.66,1843.243,217.160,2030.855,0.0,11.0,10.2,0.15,pos_only_smoothed,10.0,0.22,0x6ea869b0,0.0,0.0,0.0,0.0
142,1788706265.6018,16.66,1843.258,217.160,2030.892,0.0,10.6,10.2,0.06,pos_only_smoothed,10.2,0.17,0x6ea869b0,0.0,0.0,0.0,0.0
143,1788706265.6184,16.66,1843.288,217.160,2030.965,0.0,11.7,10.5,0.24,pos_only_smoothed,10.3,0.13,0x6ea869b0,0.0,0.0,0.0,0.0
144,1788706265.6351,16.66,1843.304,217.160,2031.002,0.0,11.2,10.6,0.11,pos_only_smoothed,10.5,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
145,1788706265.6517,16.66,1843.336,217.161,2031.078,0.0,12.4,10.9,0.29,pos_only_smoothed,10.6,0.19,0x6ea869b0,0.0,0.0,0.0,0.0
146,1788706265.6684,16.66,1843.352,217.161,2031.116,0.0,11.8,11.0,0.14,pos_only_smoothed,10.8,0.21,0x6ea869b0,0.0,0.0,0.0,0.0
147,1788706265.6851,16.66,1843.368,217.161,2031.155,0.0,11.3,11.1,0.04,pos_only_smoothed,11.0,0.15,0x6ea869b0,0.0,0.0,0.0,0.0
