frame_id,timestamp,dt_ms,my_x,my_y,my_z,raw_kmh,pos_delta_kmh,v296_kmh,v296_delta_kmh,v296_source,latest_kmh,latest_delta_kmh,latest_source,diff_kmh
74,1788706264.4687,16.66,1842.518,217.153,2029.125,0.0,0.1,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
75,1788706264.4853,16.66,1842.519,217.153,2029.128,0.0,0.2,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
76,1788706264.5020,16.66,1842.520,217.153,2029.130,0.0,0.3,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
77,1788706264.5187,16.66,1842.521,217.153,2029.133,0.0,0.3,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
78,1788706264.5353,16.66,1842.522,217.153,2029.135,0.0,0.4,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
79,1788706264.5520,16.66,1842.522,217.153,2029.135,0.0,0.3,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
80,1788706264.5687,16.67,1842.524,217.153,2029.138,0.0,0.4,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
81,1788706264.5853,16.67,1842.526,217.153,2029.142,0.0,0.5,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
82,1788706264.6020,16.66,1842.528,217.153,2029.148,0.0,0.6,0.0,0.00,ground_idle,0.0,0.00,ground_idle,0.00
83,1788706264.6187,16.66,1842.532,217.154,2029.158,0.0,0.9,0.0,0.00,ground_idle,0.3,0.34,pos_only_smoothed,0.34
84,1788706264.6353,16.66,1842.535,217.154,2029.164,0.0,1.0,0.0,0.00,ground_idle,0.6,0.28,pos_only_smoothed,0.62
85,1788706264.6520,16.66,1842.540,217.154,2029.178,0.0,1.4,0.2,0.21,pos_only_smoothed,0.9,0.23,pos_only_smoothed,0.64
86,1788706264.6686,16.66,1842.543,217.153,2029.184,0.0,1.4,0.4,0.18,pos_only_smoothed,1.0,0.20,pos_only_smoothed,0.66
87,1788706264.6853,16.67,1842.550,217.153,2029.200,0.0,1.9,0.6,0.21,pos_only_smoothed,1.2,0.17,pos_only_smoothed,0.62
88,1788706264.7020,16.66,1842.553,217.153,2029.208,0.0,1.8,0.8,0.18,pos_only_smoothed,1.4,0.15,pos_only_smoothed,0.59
89,1788706264.7186,16.66,1842.556,217.153,2029.216,0.0,1.9,0.9,0.15,pos_only_smoothed,1.5,0.13,pos_only_smoothed,0.57
90,1788706264.7353,16.66,1842.564,217.153,2029.235,0.0,2.3,1.1,0.19,pos_only_smoothed,1.6,0.11,pos_only_smoothed,0.49
